X1,Rrup,StationCode,EQID,EQdepth,M,EarthquakeLatitude,EarthquakeLongitude,StationLatitude,StationLongitude,Rjb,Vs30,PGA,Lowpass,Highpass,M2,lnRh,MlnRh,lnVs30,lnPGA,useable_period,Mlow,Mmid,Mup,Frv,Fn,ergod_res
114,77.39,GSC,ci38443095,10.6,4,35.70817,-117.50367,35.30177,-116.80574,76.81,351.9,0.0012850866,27.93218,0.19174,16,4.351853980529368,17.407415922117472,5.863347044327539,-6.656929169909651,4.172316678835924,TRUE,FALSE,FALSE,0,0,0.28378097725028173
115,192.04,GVR,ci38443095,10.6,4,35.70817,-117.50367,34.04972,-118.11995,191.91,531.8,2.5802659e-4,11.29169,0.39062,16,5.258191523460692,21.032766093842767,6.2762674788089194,-8.262447916337678,2.0480262147355486,TRUE,FALSE,FALSE,0,0,0.9678693418382753
116,79.36,HAR,ci38443095,10.6,4,35.70817,-117.50367,35.0114,-117.29909,78.79,293.5,0.0011122727,23.00469,0.31148000000000003,16,4.376844371363685,17.50737748545474,5.681877639268151,-6.801349879405693,2.5683832027738536,TRUE,FALSE,FALSE,0,0,0.0929004111980527
118,145.68,HDH,ci38443095,10.6,4,35.70817,-117.50367,34.775290000000005,-118.63999,145.44,511.5,3.4962559000000003e-4,17.19427,0.13433,16,4.982259866820966,19.929039467283864,6.2373475853916815,-7.958647718921228,5.955482766321745,TRUE,FALSE,FALSE,0,0,0.5340127489498601
119,143.6,HEC,ci38443095,10.6,4,35.70817,-117.50367,34.8294,-116.335,143.36,710.1,7.017053200000001e-4,20.8772,0.30156,16,4.967903793803388,19.871615175213552,6.565405805188048,-7.261997014147198,2.652871733651678,TRUE,FALSE,FALSE,0,0,1.3671256965878058
121,186.61,HLL,ci38443095,10.6,4,35.70817,-117.50367,34.17643,-118.35967,186.46,293.5,1.4278361e-4,8.439689999999999,0.28267,16,5.229537505962885,20.91815002385154,5.681877639268151,-8.854180290556412,2.8301553047723496,TRUE,FALSE,FALSE,0,0,-0.013332562024436001
122,177.63,HLN,ci38443095,10.6,4,35.70817,-117.50367,34.12128,-117.21897,177.47,447.3,6.604368e-5,8.439689999999999,0.43043,16,5.180272889290135,20.72109155716054,6.103229510438802,-9.625194216661106,1.8586065097693008,TRUE,FALSE,FALSE,0,0,-0.6977069983123467
124,141.78,HOL,ci38443095,10.6,4,35.70817,-117.50367,34.45831,-117.84539,141.53,873.7,2.8980333e-4,23.76099,0.27367,16,4.955171212063753,19.820684848255013,6.772737067304049,-8.14630803746048,2.9232287061058937,TRUE,FALSE,FALSE,0,0,0.560366701780719
125,93.49,HYS,ci38443095,10.6,4,35.70817,-117.50367,34.865320000000004,-117.56975,93.03,293.5,7.899745499999999e-4,29.79895,0.33229000000000003,16,4.539909656160357,18.159638624641428,5.681877639268151,-7.143509828212001,2.4075355863853862,TRUE,FALSE,FALSE,0,0,0.07528163933234744
128,168.51,IPT,ci38443095,10.6,4,35.70817,-117.50367,34.19701,-117.28498,168.33,623.3,3.1060822e-4,15.10746,0.4592,16,5.127628594300021,20.510514377200085,6.435027943814805,-8.076978182693244,1.7421602787456447,TRUE,FALSE,FALSE,0,0,0.8848230558780745
130,87.42,ISA,ci38443095,10.6,4,35.70817,-117.50367,35.66278,-118.47403,86.92,351.9,8.905006300000002e-4,37.5,0.26496,16,4.4730738845581115,17.892295538232446,5.863347044327539,-7.023726747767093,3.019323671497585,TRUE,FALSE,FALSE,0,0,0.1547281179901736
132,145.28,JNH2,ci38443095,10.6,4,35.70817,-117.50367,34.44894,-117.95541,145.05,351.9,2.0765072e-4,19.56934,0.48989,16,4.97951501517166,19.91806006068664,5.863347044327539,-8.47965312052054,1.6330196574741267,TRUE,FALSE,FALSE,0,0,-0.18894379630927283
133,41.44,JRC2,ci38443095,10.6,4,35.70817,-117.50367,35.98249000000001,-117.80885,40.24,710.1,0.004868091,37.5,0.34322,16,3.7346199740211192,14.938479896084477,6.565405805188048,-5.32505341052295,2.330866499621234,TRUE,FALSE,FALSE,0,0,0.8813247825822623
135,169.14,JVA,ci38443095,10.6,4,35.70817,-117.50367,34.36622,-116.61266,168.96,351.9,2.1305457000000004e-4,15.10746,0.55756000000000006,16,5.131355565971299,20.525422263885197,5.863347044327539,-8.453962227884645,1.4348231580457707,TRUE,FALSE,FALSE,0,0,0.21906736558424988
139,109.67,LDR,ci38443095,10.6,4,35.70817,-117.50367,34.9906,-118.34156000000002,109.31,447.3,4.699181700000001e-4,25.34899,0.33229000000000003,16,4.698970190763951,18.795880763055806,6.103229510438802,-7.662951984801424,2.4075355863853862,TRUE,FALSE,FALSE,0,0,0.11024863582141275
140,139.59,LEO,ci38443095,10.6,4,35.70817,-117.50367,34.63064,-118.30505,139.34,351.9,5.8057984e-4,24.54215,0.3545,16,4.939632472300631,19.758529889202524,5.863347044327539,-7.451483229677246,2.2566995768688294,TRUE,FALSE,FALSE,0,0,0.7431421623449062
141,179.2,LFP,ci38443095,10.6,4,35.70817,-117.50367,34.30529,-118.48805,179.04,447.3,6.045929700000001e-4,6.51541,0.33229000000000003,16,5.189062713530146,20.756250854120584,6.103229510438802,-7.410955103208845,2.4075355863853862,TRUE,FALSE,FALSE,0,0,1.54008372875564
143,158.6,LJR,ci38443095,10.6,4,35.70817,-117.50367,34.80762,-118.86775,158.39,722.4,1.0376857e-4,10.24742,0.26496,16,5.067100390706838,20.268401562827354,6.582579002102776,-9.173347426918092,3.019323671497585,TRUE,FALSE,FALSE,0,0,-0.2899073509234018
146,87.42,LMR2,ci38443095,10.6,4,35.70817,-117.50367,34.93439,-117.69629,86.92,710.1,8.551441300000001e-4,37.5,0.3545,16,4.4730738845581115,17.892295538232446,6.565405805188048,-7.064240530134947,2.2566995768688294,TRUE,FALSE,FALSE,0,0,0.4807772061562856
148,180.62,LMY,ci38443095,10.6,4,35.70817,-117.50367,34.73316,-119.10391,180.46,447.3,2.0276382e-4,6.10725,0.31148000000000003,16,5.196946820698782,20.78778728279513,6.103229510438802,-8.503468704529705,2.5683832027738536,TRUE,FALSE,FALSE,0,0,0.4687835390611639
149,30.9,LRL,ci38443095,10.6,4,35.70817,-117.50367,35.47954,-117.68212,29.25,447.3,0.0079007774,37.5,0.26496,16,3.4492613952092657,13.797045580837063,6.103229510438802,-4.840794119287331,3.019323671497585,TRUE,FALSE,FALSE,0,0,0.6561824575063291
150,139.16,LRR2,ci38443095,10.6,4,35.70817,-117.50367,34.52706,-118.02998,138.91,695.4,4.1009252e-4,23.76099,0.27367,16,4.936552975143739,19.746211900574956,6.544487219573761,-7.799127765186393,2.9232287061058937,TRUE,FALSE,FALSE,0,0,0.7437895342236018
151,146.95,LUC2,ci38443095,10.6,4,35.70817,-117.50367,34.45638,-116.96423,146.71,293.5,8.5296701e-4,9.60547,0.32172,16,4.990925252027522,19.96370100811009,5.681877639268151,-7.066789686484277,2.4866343404202413,TRUE,FALSE,FALSE,0,0,1.1569753707237727
152,149.15,LUG,ci38443095,10.6,4,35.70817,-117.50367,34.3656,-117.36683,148.93,351.9,1.6503682e-4,16.64699,0.24046,16,5.005761001271483,20.023044005085932,5.863347044327539,-8.709341957443138,3.3269566663894197,TRUE,FALSE,FALSE,0,0,-0.3544587047680601
154,133.47,MAG,ci38443095,10.6,4,35.70817,-117.50367,35.36165,-118.92282,133.2,447.3,2.2496568e-4,8.17106,0.6554300000000001,16,4.894886141457518,19.579544565830073,6.103229510438802,-8.399562700727579,1.220572753764704,TRUE,FALSE,FALSE,0,0,-0.18550852317829936
157,182.97,MIK,ci38443095,10.6,4,35.70817,-117.50367,34.13688,-118.12601,182.82,447.3,7.010736200000001e-4,6.25,0.31729,16,5.209859582290227,20.83943832916091,6.103229510438802,-7.262897655046042,2.5213527057266223,TRUE,FALSE,FALSE,0,0,1.7442811569556165
158,182.97,MIKB,ci38443095,10.6,4,35.70817,-117.50367,34.13688,-118.12601,182.82,447.3,2.8245329e-4,8.24692,0.32848,16,5.209859582290227,20.83943832916091,6.103229510438802,-8.171997366181536,2.4354603019970775,TRUE,FALSE,FALSE,0,0,0.8351814458201225
161,188.76,MLS,ci38443095,10.6,4,35.70817,-117.50367,34.0046,-117.56162,188.62,293.5,1.1911636e-4,7.415389999999999,0.59482,16,5.2409812992825735,20.963925197130294,5.681877639268151,-9.035409727476496,1.3449446891496588,TRUE,FALSE,FALSE,0,0,-0.16310200314122802
